. Sequence file : [Muscle_ACT1_Complete_sequence_for_phylogeny.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.14781  -1.21319   0.14367   0.92172  
      	     	          	           	          	           	             	                                      	 0.63033   0.12921  -0.99047   0.23093  
      	     	          	           	          	           	             	                                      	 0.14705   0.71780   0.19995  -1.06479  

  #62	20   	-3298.16084	Yes        	8        	1395.241    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.74581   0.10075   0.50717   0.13789  
      	     	          	           	          	           	             	                                      	 0.13332  -1.24941   0.07871   1.03738  
      	     	          	           	          	           	             	                                      	 0.60361   0.07079  -0.90520   0.23080  
      	     	          	           	          	           	             	                                      	 0.14209   0.80787   0.19984  -1.14980  

  #63	20   	-3196.34300	Yes        	8        	21.216    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.79371   0.07036   0.56708   0.15627  
      	     	          	           	          	           	             	                                      	 0.09311  -1.22822   0.14081   0.99431  
      	     	          	           	          	           	             	                                      	 0.67491   0.12664  -0.95823   0.15667  
      	     	          	           	          	           	             	                                      	 0.16104   0.77432   0.13566  -1.07102  

  #64	20   	-3308.85405	Yes        	8        	5009.691    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.76498   0.11180   0.52294   0.13025  
      	     	          	           	          	           	             	                                      	 0.14794  -1.23060   0.09146   0.99121  
      	     	          	           	          	           	             	                                      	 0.62237   0.08226  -0.94268   0.23805  
