. Sequence file : [Muscle_ACT1_Exon2_for_phylogeny.fasta.alter2.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.23069   0.73022   0.16616  -1.12707  

  #55	104   	-5919.66364	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.75731   0.10170   0.45675   0.19886  
      	     	          	           	          	           	             	                                      	 0.12671  -1.37350   0.15670   1.09009  
      	     	          	           	          	           	             	                                      	 0.51957   0.14307  -0.78511   0.12248  
      	     	          	           	          	           	             	                                      	 0.18946   0.83355   0.10258  -1.12559  

  #56	104   	-5825.85721	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.81102   0.11012   0.53455   0.16634  
      	     	          	           	          	           	             	                                      	 0.13720  -1.29428   0.10166   1.05541  
      	     	          	           	          	           	             	                                      	 0.60806   0.09282  -0.84417   0.14329  
      	     	          	           	          	           	             	                                      	 0.15848   0.80704   0.12001  -1.08553  

  #57	104   	-5736.95553	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.82633   0.08569   0.56974   0.17090  
      	     	          	           	          	           	             	                                      	 0.10676  -1.17665   0.10836   0.96153  
      	     	          	           	          	           	             	                                      	 0.64809   0.09893  -0.95250   0.20548  
      	     	          	           	          	           	             	                                      	 0.16282   0.73525   0.17210  -1.07017  

  #58	104   	-5583.51354	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.74950   0.08927   0.48899   0.17123  
      	     	          	           	          	           	             	                                      	 0.11123  -1.32399   0.16718   1.04558  
      	     	          	           	          	           	             	                                      	 0.55624   0.15263  -0.87131   0.16243  
      	     	          	           	          	           	             	                                      	 0.16313   0.79952   0.13604  -1.09870  

  #59	104   	-6214.73034	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.74894   0.08123   0.45694   0.21077  
      	     	          	           	          	           	             	                                      	 0.10120  -1.32832   0.11427   1.11285  
      	     	          	           	          	           	             	                                      	 0.51978   0.10433  -0.77407   0.14996  
      	     	          	           	          	           	             	                                      	 0.20080   0.85096   0.12560  -1.17736  

  #60	104   	-5910.70953	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.67864   0.05476   0.46952   0.15436  
      	     	          	           	          	           	             	                                      	 0.06822  -1.35956   0.15294   1.13840  
      	     	          	           	          	           	             	                                      	 0.53409   0.13963  -0.84502   0.17130  
      	     	          	           	          	           	             	                                      	 0.14706   0.87049   0.14347  -1.16102  

  #61	104   	-5952.69769	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.91717   0.10348   0.56398   0.24971  
      	     	          	           	          	           	             	                                      	 0.12893  -1.11880   0.10266   0.88722  
      	     	          	           	          	           	             	                                      	 0.64154   0.09372  -0.91047   0.17520  
      	     	          	           	          	           	             	                                      	 0.23790   0.67842   0.14674  -1.06306  

  #62	104   	-5810.01723	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.86479   0.09472   0.47250   0.29757  
      	     	          	           	          	           	             	                                      	 0.11801  -1.22351   0.08676   1.01874  
      	     	          	           	          	           	             	                                      	 0.53747   0.07921  -0.74590   0.12922  
      	     	          	           	          	           	             	                                      	 0.28351   0.77899   0.10823  -1.17073  

  #63	104   	-5861.12957	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.75594   0.08198   0.45290   0.22106  
      	     	          	           	          	           	             	                                      	 0.10214  -1.28616   0.05722   1.12679  
      	     	          	           	          	           	             	                                      	 0.51518   0.05224  -0.74878   0.18135  
      	     	          	           	          	           	             	                                      	 0.21061   0.86162   0.15189  -1.22412  

  #64	104   	-6230.05324	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.81841   0.10136   0.48201   0.23503  
      	     	          	           	          	           	             	                                      	 0.12629  -1.24329   0.16439   0.95261  
      	     	          	           	          	           	             	                                      	 0.54830   0.15009  -0.86986   0.17147  
      	     	          	           	          	           	             	                                      	 0.22392   0.72842   0.14362  -1.09596  

